datetime,hora,temperature,dew,Humedad,VV,presion,precip.rate.,precip.acum,uv,solar,dv,datetime,elevation,lat,lon
2019-04-04 00:00:00,23.0,22.78,18.89,79.0,0.0,948.08,0.0,0.0,0.0,0.0,348.75,2019-04-03 23:58:00,428.0,-64.1833,-31.3667
2019-04-04 01:00:00,,,,,,,,,,,,,,,
2019-04-04 02:00:00,,,,,,,,,,,,,,,
2019-04-04 03:00:00,,,,,,,,,,,,,,,
2019-04-04 04:00:00,,,,,,,,,,,,,,,
2019-04-04 05:00:00,,,,,,,,,,,,,,,
2019-04-04 06:00:00,,,,,,,,,,,,,,,
2019-04-04 07:00:00,,,,,,,,,,,,,,,
2019-04-04 08:00:00,,,,,,,,,,,,,,,
2019-04-04 09:00:00,,,,,,,,,,,,,,,
2019-04-04 10:00:00,,,,,,,,,,,,,,,
2019-04-04 11:00:00,,,,,,,,,,,,,,,
2019-04-04 12:00:00,,,,,,,,,,,,,,,
2019-04-04 13:00:00,,,,,,,,,,,,,,,
2019-04-04 14:00:00,,,,,,,,,,,,,,,
2019-04-04 15:00:00,,,,,,,,,,,,,,,
2019-04-04 16:00:00,16.0,24.77,6.25,30.83,4.4,948.08,0.0,0.0,1.08,498.83,204.38,2019-04-04 16:04:00,428.0,-64.1833,-31.3667
2019-04-04 17:00:00,17.0,23.93,7.08,34.0,3.06,948.08,0.0,0.0,1.0,197.17,198.75,2019-04-04 17:04:00,428.0,-64.1833,-31.3667
2019-04-04 18:00:00,18.0,22.69,7.36,37.25,2.12,948.08,0.0,0.0,0.58,52.92,193.12,2019-04-04 18:04:00,428.0,-64.1833,-31.3667
2019-04-04 19:00:00,19.0,21.11,8.66,45.08,1.29,948.08,0.0,0.0,0.0,1.83,198.75,2019-04-04 19:04:00,428.0,-64.1833,-31.3667
2019-04-04 20:00:00,20.0,19.58,9.03,50.67,1.76,948.08,0.0,0.0,0.0,0.0,202.5,2019-04-04 20:04:00,428.0,-64.1833,-31.3667
2019-04-04 21:00:00,21.0,18.52,9.16,54.83,2.07,948.08,0.0,0.0,0.0,0.0,206.25,2019-04-04 21:04:00,428.0,-64.1833,-31.3667
2019-04-04 22:00:00,22.0,17.55,9.17,57.83,1.14,948.08,0.0,0.0,0.0,0.0,211.88,2019-04-04 22:04:00,428.0,-64.1833,-31.3667
2019-04-04 23:00:00,23.0,17.22,8.75,56.75,1.03,948.08,0.0,0.0,0.0,0.0,213.75,2019-04-04 23:04:00,428.0,-64.1833,-31.3667
