hora,temperature,dew,Humedad,VV,presion,precip.rate.,precip.acum,uv,solar,dv,datetime,elevation,lat,lon
0.0,23.24,16.25,64.42,4.4,981.94,0.0,0.0,0.0,0.0,335.62,2019-03-01 00:04:00,420.0,64.14,31.38
1.0,22.82,16.11,65.08,4.5,981.94,0.0,0.0,0.0,0.0,330.0,2019-03-01 01:04:00,420.0,64.14,31.38
2.0,22.22,16.11,67.92,4.19,981.94,0.0,0.0,0.0,0.0,328.12,2019-03-01 02:04:00,420.0,64.14,31.38
3.0,22.22,16.53,69.67,4.71,981.94,0.0,0.0,0.0,0.0,339.38,2019-03-01 03:04:00,420.0,64.14,31.38
4.0,22.22,16.67,70.5,4.5,981.94,0.0,0.0,0.0,0.0,346.88,2019-03-01 04:04:00,420.0,64.14,31.38
5.0,20.97,16.58,75.58,3.26,981.94,0.0,0.0,0.0,0.0,339.38,2019-03-01 05:04:00,420.0,64.14,31.38
6.0,19.26,16.16,82.42,1.55,981.94,0.0,0.0,0.0,0.0,333.75,2019-03-01 06:04:00,420.0,64.14,31.38
7.0,19.03,16.11,82.58,1.71,981.94,0.0,0.0,0.0,25.25,346.88,2019-03-01 07:04:00,420.0,64.14,31.38
8.0,20.83,16.3,75.17,2.49,981.94,0.0,0.0,1.67,223.92,341.25,2019-03-01 08:04:00,420.0,64.14,31.38
9.0,24.07,17.13,65.33,3.94,981.94,0.0,0.0,4.67,528.33,339.38,2019-03-01 09:04:00,420.0,64.14,31.38
10.0,26.9,17.55,56.42,4.5,981.94,0.0,0.0,7.58,844.0,346.88,2019-03-01 10:04:00,420.0,64.14,31.38
11.0,28.93,17.17,49.17,5.07,981.94,0.0,0.0,7.92,874.5,346.5,2019-03-01 11:04:00,420.0,64.14,31.38
12.0,30.14,16.71,44.58,5.38,981.94,0.0,0.0,7.92,881.0,348.75,2019-03-01 12:04:00,420.0,64.14,31.38
13.0,31.02,16.11,40.75,4.82,981.94,0.0,0.0,8.58,922.67,346.5,2019-03-01 13:04:00,420.0,64.14,31.38
14.0,31.95,15.61,37.42,4.61,981.94,0.0,0.0,8.75,960.42,346.5,2019-03-01 14:04:00,420.0,64.14,31.38
15.0,32.5,15.14,35.33,4.25,981.94,0.0,0.0,7.5,838.42,348.75,2019-03-01 15:04:00,420.0,64.14,31.38
16.0,32.5,15.65,36.67,3.88,981.94,0.0,0.0,5.83,638.83,346.5,2019-03-01 16:04:00,420.0,64.14,31.38
17.0,32.22,16.44,39.08,3.21,981.94,0.0,0.0,3.5,402.92,345.94,2019-03-01 17:04:00,420.0,64.14,31.38
18.0,30.18,18.7,50.67,2.75,981.94,0.0,0.0,1.17,159.08,62.39,2019-03-01 18:04:00,420.0,64.14,31.38
19.0,27.78,17.92,54.92,2.59,981.94,0.0,0.0,0.0,26.08,15.75,2019-03-01 19:04:00,420.0,64.14,31.38
20.0,26.11,17.78,60.33,1.76,981.94,0.0,0.0,0.0,0.0,236.25,2019-03-01 20:04:00,420.0,64.14,31.38
21.0,25.05,17.78,63.58,1.5,981.94,0.0,0.0,0.0,0.0,326.25,2019-03-01 21:04:00,420.0,64.14,31.38
22.0,24.44,16.99,63.33,1.03,981.94,0.0,0.0,0.0,0.0,333.75,2019-03-01 22:04:00,420.0,64.14,31.38
23.0,23.98,15.97,60.92,1.08,981.94,0.0,0.0,0.0,0.0,333.75,2019-03-01 23:04:00,420.0,64.14,31.38
0.0,23.24,15.88,63.0,0.62,981.94,0.0,0.0,0.0,0.0,318.75,2019-03-02 00:04:00,420.0,64.14,31.38
1.0,22.78,16.94,69.08,0.41,981.94,0.0,0.0,0.0,0.0,279.38,2019-03-02 01:04:00,420.0,64.14,31.38
2.0,22.78,17.92,74.0,1.24,981.94,0.0,0.0,0.0,0.0,251.25,2019-03-02 02:04:00,420.0,64.14,31.38
3.0,22.55,17.69,73.83,2.59,981.94,0.0,0.0,0.0,0.0,219.38,2019-03-02 03:04:00,420.0,64.14,31.38
4.0,22.55,16.3,67.92,2.85,981.94,0.0,0.0,0.0,0.0,211.88,2019-03-02 04:04:00,420.0,64.14,31.38
5.0,22.31,13.98,59.33,6.01,981.94,0.0,0.0,0.0,0.0,193.12,2019-03-02 05:04:00,420.0,64.14,31.38
6.0,22.22,10.56,48.17,6.58,990.41,0.0,0.0,0.0,0.0,196.88,2019-03-02 06:04:00,420.0,64.14,31.38
7.0,21.95,9.91,46.5,4.66,1015.8,0.0,0.0,0.0,34.58,200.62,2019-03-02 07:04:00,420.0,64.14,31.38
8.0,21.48,9.72,47.08,7.56,1015.8,0.0,0.0,1.5,203.75,191.25,2019-03-02 08:04:00,420.0,64.14,31.38
