hora,temperature,dew,Humedad,VV,presion,precip.rate.,precip.acum,uv,solar,dv,datetime,elevation,lat,lon
0.0,23.89,15.97,61.33,2.54,981.94,0.0,0.0,,,60.75,2019-03-01 00:04:00,453.0,64.21,31.45
1.0,23.52,15.7,61.92,2.07,981.94,0.0,0.0,,,131.25,2019-03-01 01:04:00,453.0,64.21,31.45
2.0,23.28,15.56,62.67,2.7,981.94,0.0,0.0,,,94.5,2019-03-01 02:04:00,453.0,64.21,31.45
3.0,23.19,16.44,65.75,3.42,981.94,0.0,0.0,,,123.75,2019-03-01 03:04:00,453.0,64.21,31.45
4.0,22.73,16.39,67.17,2.64,981.94,0.0,0.0,,,113.52,2019-03-01 04:04:00,453.0,64.21,31.45
5.0,21.57,16.02,70.67,1.81,981.94,0.0,0.0,,,144.2,2019-03-01 05:04:00,453.0,64.21,31.45
6.0,20.7,16.06,74.67,2.38,981.94,0.0,0.0,,,58.3,2019-03-01 06:04:00,453.0,64.21,31.45
7.0,20.84,16.11,74.08,1.81,981.94,0.0,0.0,,,82.5,2019-03-01 07:04:00,453.0,64.21,31.45
8.0,22.41,16.11,68.08,2.9,981.94,0.0,0.0,,,31.7,2019-03-01 08:04:00,453.0,64.21,31.45
9.0,25.32,16.34,57.92,2.96,981.94,0.0,0.0,,,82.84,2019-03-01 09:04:00,453.0,64.21,31.45
10.0,28.75,16.67,48.5,2.69,981.94,0.0,0.0,,,157.5,2019-03-01 10:04:00,453.0,64.21,31.45
11.0,30.93,14.86,38.17,2.17,981.94,0.0,0.0,,,213.75,2019-03-01 11:03:00,453.0,64.21,31.45
12.0,32.32,14.16,33.83,1.76,981.94,0.0,0.0,,,245.25,2019-03-01 12:04:00,453.0,64.21,31.45
13.0,32.96,14.3,32.58,2.8,981.94,0.0,0.0,,,142.16,2019-03-01 13:04:00,453.0,64.21,31.45
14.0,33.66,14.44,31.83,2.9,981.94,0.0,0.0,,,50.11,2019-03-01 14:04:00,453.0,64.21,31.45
15.0,34.35,13.66,29.25,3.21,981.94,0.0,0.0,,,146.25,2019-03-01 15:04:00,453.0,64.21,31.45
16.0,34.12,13.75,29.58,2.8,981.94,0.0,0.0,,,73.12,2019-03-01 16:04:00,453.0,64.21,31.45
17.0,33.98,14.12,30.58,2.69,981.94,0.0,0.0,,,92.25,2019-03-01 17:04:00,453.0,64.21,31.45
18.0,32.36,15.42,36.5,2.33,981.94,0.0,0.0,,,97.16,2019-03-01 18:04:00,453.0,64.21,31.45
19.0,29.58,17.04,47.17,1.19,981.94,0.0,0.0,,,78.75,2019-03-01 19:04:00,453.0,64.21,31.45
20.0,27.83,15.84,48.58,1.45,981.94,0.0,0.0,,,63.0,2019-03-01 20:04:00,453.0,64.21,31.45
21.0,26.81,15.65,50.42,1.55,981.94,0.0,0.0,,,35.62,2019-03-01 21:04:00,453.0,64.21,31.45
22.0,26.11,15.46,52.17,2.02,981.94,0.0,0.0,,,35.8,2019-03-01 22:04:00,453.0,64.21,31.45
