hora,temperature,dew,Humedad,presion,precipitacion,datetime,altitud,latitud,longitud,
0,21.11,17.22,78,8.7,948.08,2019-03-01 00:00:00,455,64.18,31.42,
1,21.11,16.11,73,8.08,948.08,2019-03-01 01:00:00,455,64.18,31.42,
2,18.89,16.11,83,4.35,948.08,2019-03-01 02:00:00,455,64.18,31.42,
3,21.11,16.11,73,9.32,948.08,2019-03-01 03:00:00,455,64.18,31.42,
4,21.11,17.22,78,9.32,948.08,2019-03-01 04:00:00,455,64.18,31.42,
5,17.78,16.11,88,4.97,948.08,2019-03-01 05:00:00,455,64.18,31.42,
6,16.11,15,94,4.35,948.08,2019-03-01 06:00:00,455,64.18,31.42,
7,15,15,100,3.11,948.08,2019-03-01 07:00:00,455,64.18,31.42,
8,17.22,16.11,94,3.73,948.08,2019-03-01 08:00:00,455,64.18,31.42,
9,23.89,17.78,69,7.46,948.08,2019-03-01 09:00:00,455,64.18,31.42,
10,26.11,17.78,61,8.7,948.08,2019-03-01 10:00:00,455,64.18,31.42,
11,30,17.22,45,10.56,948.08,2019-03-01 11:00:00,455,64.18,31.42,
12,31.11,17.22,43,10.56,948.08,2019-03-01 12:00:00,455,64.18,31.42,
13,31.11,17.78,46,8.7,948.08,2019-03-01 13:00:00,455,64.18,31.42,
14,32.22,16.11,38,9.32,948.08,2019-03-01 14:00:00,455,64.18,31.42,
15,32.78,16.11,36,11.18,948.08,2019-03-01 15:00:00,455,64.18,31.42,
16,32.22,17.22,40,7.46,948.08,2019-03-01 16:00:00,455,64.18,31.42,
17,32.22,17.22,40,7.46,948.08,2019-03-01 17:00:00,455,64.18,31.42,
18,30,17.22,45,6.21,948.08,2019-03-01 18:00:00,455,64.18,31.42,
19,27.78,20,62,5.59,948.08,2019-03-01 19:00:00,455,64.18,31.42,
20,23.89,17.78,69,4.35,948.08,2019-03-01 20:00:00,455,64.18,31.42,
21,20,17.78,88,3.11,948.08,2019-03-01 21:00:00,455,64.18,31.42,
22,21.11,17.22,78,4.97,948.08,2019-03-01 22:00:00,455,64.18,31.42,
23,20,16.11,78,4.97,948.08,2019-03-01 23:00:00,455,64.18,31.42,
0,17.78,16.11,88,1.24,948.08,2019-03-02 00:00:00,455,64.18,31.42,
1,17.78,16.11,88,4.35,948.08,2019-03-02 01:00:00,455,64.18,31.42,
2,17.22,16.11,94,4.35,948.08,2019-03-02 02:00:00,455,64.18,31.42,
3,17.22,16.11,94,3.11,948.08,2019-03-02 03:00:00,455,64.18,31.42,
4,21.11,18.89,88,6.21,948.08,2019-03-02 04:00:00,455,64.18,31.42,
5,21.11,16.11,73,7.46,948.08,2019-03-02 05:00:00,455,64.18,31.42,
6,20,13.89,68,6.21,948.08,2019-03-02 06:00:00,455,64.18,31.42,
7,20,11.11,56,7.46,948.08,2019-03-02 07:00:00,455,64.18,31.42,
8,20,11.11,56,4.97,948.08,2019-03-02 08:00:00,455,64.18,31.42,
9,22.22,10,46,9.32,948.08,2019-03-02 09:00:00,455,64.18,31.42,
10,22.78,8.89,41,7.46,948.08,2019-03-02 10:00:00,455,64.18,31.42,
11,25,10,39,5.59,948.08,2019-03-02 11:00:00,455,64.18,31.42,
12,25,8.89,36,4.35,948.08,2019-03-02 12:00:00,455,64.18,31.42,
13,27.22,10,34,3.73,948.08,2019-03-02 13:00:00,455,64.18,31.42,
14,27.22,8.89,32,3.73,948.08,2019-03-02 14:00:00,455,64.18,31.42,
15,27.22,11.11,37,4.35,948.08,2019-03-02 15:00:00,455,64.18,31.42,
16,27.22,12.22,39,4.97,948.08,2019-03-02 16:00:00,455,64.18,31.42,
17,27.22,12.78,42,4.97,948.08,2019-03-02 17:00:00,455,64.18,31.42,
18,26.11,13.89,47,5.59,948.08,2019-03-02 18:00:00,455,64.18,31.42,
19,25,13.89,50,4.35,948.08,2019-03-02 19:00:00,455,64.18,31.42,
20,20,15.56,75.5,3.11,948.08,2019-03-02 20:00:00,455,64.18,31.42,
21,17.78,15,83,1.86,948.08,2019-03-02 21:00:00,455,64.18,31.42,
22,17.22,15,88,3.73,948.08,2019-03-02 22:00:00,455,64.18,31.42,
0,16.11,15,94,1.86,948.08,2019-03-03 00:00:00,455,64.18,31.42,
1,15,13.89,94,1.86,948.08,2019-03-03 01:00:00,455,64.18,31.42,
2,16.11,13.89,88,4.35,948.08,2019-03-03 02:00:00,455,64.18,31.42,
3,16.11,13.89,88,3.11,948.08,2019-03-03 03:00:00,455,64.18,31.42,
4,17.22,15,88,3.11,948.08,2019-03-03 04:00:00,455,64.18,31.42,
5,17.78,16.11,88,0,948.08,2019-03-03 05:00:00,455,64.18,31.42,
6,17.22,15,88,0,948.08,2019-03-03 06:00:00,455,64.18,31.42,
7,16.11,15,94,1.86,948.08,2019-03-03 07:00:00,455,64.18,31.42,
8,17.78,16.11,88,1.24,948.08,2019-03-03 08:00:00,455,64.18,31.42,
9,22.22,17.22,73,1.86,948.08,2019-03-03 09:00:00,455,64.18,31.42,
10,25,18.89,69,7.46,948.08,2019-03-03 10:00:00,455,64.18,31.42,
